UMRRID; BusNo; MessageNo; Length; Time; ObjectNumber; ObjectID; Lane; mLine; Class; Speed; 
0; 1; 512; 1541146079; 2/11/2017 4:24:39 PM; 0; 20; 1; 0; 4; -14; 
0; 1; 612; 1541157080; 2/11/2017 4:24:40 PM; 0; 22; 0; 0; 3; 7.2; 
0; 1; 313; 1546127085; 2/11/2017 4:24:45 PM; 0; 21; 1; 0; 4; -14; 
0; 1; 313; 1549167090; 2/11/2017 4:24:50 PM; 0; 23; 1; 0; 4; -14; 
0; 1; 613; 1541147090; 2/11/2017 4:24:50 PM; 0; 24; 0; 0; 3; 7.2; 
0; 1; 114; 1531147096; 2/11/2017 4:24:56 PM; 0; 25; 1; 0; 4; -14; 
0; 1; 115; 1511147101; 2/11/2017 4:25:01 PM; 0; 26; 1; 0; 4; -14; 
0; 1; 215; 1841147102; 2/11/2017 4:25:02 PM; 0; 28; 0; 0; 3; 7.2; 
0; 1; 916; 1541147106; 2/11/2017 4:25:06 PM; 0; 27; 1; 0; 4; -14; 
0; 1; 916; 1511147111; 2/11/2017 4:25:11 PM; 0; 29; 1; 0; 4; -14; 
0; 1; 216; 1041147112; 2/11/2017 4:25:12 PM; 0; 30; 0; 0; 3; 7.2; 
0; 1; 717; 1141147117; 2/11/2017 4:25:17 PM; 0; 31; 1; 0; 4; -14; 
0; 1; 718; 1341147122; 2/11/2017 4:25:22 PM; 0; 32; 1; 0; 4; -14; 
0; 1; 818; 1141447123; 2/11/2017 4:25:23 PM; 0; 34; 0; 0; 3; 7.2; 
0; 1; 519; 1141547128; 2/11/2017 4:25:28 PM; 0; 33; 1; 0; 4; -14; 
0; 1; 519; 1541347133; 2/11/2017 4:25:33 PM; 0; 35; 1; 0; 4; -14; 
0; 1; 819; 1841147133; 2/11/2017 4:25:33 PM; 0; 36; 0; 0; 3; 7.2; 
