UMRRID; Time; MessageNr; MeasLine; Lane; Class; Headway [s]; 85p. Speed; Avg. Speed; Gap [s]; Volume; Occupancy [%]; 

0; 2/11/2017 4:25:06 PM; 0; 0; 0; 0; 11.004; 0; 0; 10.304; 0; 0; 
0; 2/11/2017 4:25:06 PM; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
0; 2/11/2017 4:25:06 PM; 2; 0; 0; 2; 0; 0; 0; 0; 0; 0; 
0; 2/11/2017 4:25:06 PM; 3; 0; 0; 3; 0; 16; 15.94; 0; 6; 7; 
0; 2/11/2017 4:25:06 PM; 4; 0; 0; 4; 0; 0; 0; 0; 0; 0; 
0; 2/11/2017 4:25:06 PM; 5; 0; 1; 0; 5.46; 0; 0; 4.844; 0; 0; 
0; 2/11/2017 4:25:06 PM; 6; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
0; 2/11/2017 4:25:06 PM; 7; 0; 1; 2; 0; 0; 0; 0; 0; 0; 
0; 2/11/2017 4:25:06 PM; 8; 0; 1; 3; 0; 0; 0; 0; 0; 0; 
0; 2/11/2017 4:25:06 PM; 9; 0; 1; 4; 0; -32; -31.77; 0; 11; 10.99; 
